iter	RMSE
0	10236509.95
1	9918665.117
2	9620009.806
3	9355107.79
4	9113422.362
5	8900177.172
6	8706339.4
7	8528807.991
8	8374272.41
9	8241931.117
10	8114270.136
11	8009548.298
12	7906760.617
13	7818813.774
14	7741235.055
15	7665531.463
16	7604195.268
17	7548860.178
18	7492832.567
19	7444918.464
20	7398965.725
21	7361400.468
22	7329111.012
23	7296643.527
24	7248682.343
25	7224114.474
26	7201279.815
27	7174484.193
28	7146641.922
29	7128390.587
30	7112354.668
31	7092045.653
32	7074100.905
33	7058171.725
34	7035673.874
35	6995438.038
36	6980815.506
37	6967789.697
38	6943804.658
39	6927725.919
40	6916752.418
41	6908068.85
42	6901455.763
43	6891800.049
44	6883642.784
45	6877277.219
46	6870072.492
47	6866154.869
48	6860086.947
49	6856330.577
50	6848635.046
51	6831496.278
52	6823142.196
53	6817801.607
54	6811615.177
55	6802056.029
56	6798087.512
57	6791802.761
58	6787141.589
59	6773693.495
60	6754496.013
61	6751574.699
62	6743352.305
63	6720012.826
64	6716836.031
65	6704272.277
66	6692206.015
67	6680451.822
68	6663203.323
69	6651435.341
70	6638002.826
71	6622063.999
72	6618890.657
73	6613746.594
74	6596091.772
75	6593674.95
76	6591279.735
77	6585928.23
78	6580743.388
79	6577164.42
80	6576689.238
81	6575243.647
82	6559732.544
83	6556480.685
84	6553902.197
85	6551101.784
86	6539846.306
87	6535791.926
88	6532254.284
89	6531518.776
90	6527723.088
91	6516306.687
92	6513310.075
93	6507559.934
94	6503581.416
95	6490589.759
96	6486006.998
97	6477650.01
98	6476013.174
99	6468236.199
100	6460668.477
101	6458256.879
102	6454885.516
103	6453594.517
104	6451354.247
105	6440134.932
106	6438849.231
107	6436213.144
108	6426524.671
109	6424336.72
110	6423281.042
111	6415937.039
112	6413964.013
113	6410657.45
114	6405893.382
115	6400258.222
116	6394991.732
117	6392577.696
118	6389551.71
119	6374369.588
120	6374009.801
121	6373644.965
122	6371324.979
123	6369747.89
124	6368936.106
125	6367409.381
126	6364005.272
127	6361564.556
128	6350514.862
129	6340252.106
130	6336369.318
131	6320739.705
132	6315739.884
133	6313583.161
134	6307660.701
135	6303389.105
136	6300549.515
137	6299170.201
138	6294516.126
139	6294445.432
140	6289704.808
141	6287478.237
142	6285814.563
143	6284984.737
144	6282569.598
145	6273873.764
146	6270998.331
147	6260975.69
148	6256944.969
149	6255005.618
150	6247436.989
151	6241775.315
152	6238202.43
153	6236099.165
154	6231977.173
155	6230615.516
156	6230140.538
157	6229428.361
158	6227418.368
159	6225450.012
160	6218403.588
161	6217512.612
162	6213995.056
163	6211146.096
164	6209887.095
165	6207470.407
166	6205233.737
167	6203071.575
168	6197380.378
169	6178837.985
170	6176805.819
171	6173865.584
172	6173484.211
173	6168050.977
174	6165024.334
175	6163203.333
176	6145732.562
177	6142541.272
178	6139151.679
179	6138705.295
180	6133170.053
181	6128413.477
182	6127347.475
183	6126144.798
184	6124699.763
185	6120191.951
186	6117388.142
187	6109309.174
188	6105300.974
189	6102845.321
190	6102053.897
191	6094519.159
192	6083279.641
193	6081062.787
194	6079812.32
195	6075849.441
196	6070309.862
197	6064181.862
198	6057316.868
199	6054199.704
200	6049527.345
201	6044020.008
202	6042753.45
203	6038600.255
204	6036272.28
205	6029751.396
206	6028157.875
207	6022582.15
208	6020201.922
209	6018788.244
210	6018522.287
211	6016399.883
212	6015523.137
