iter	Passed	Remaining
0	63	63503
1	70	35237
2	74	24889
3	79	19736
4	83	16672
5	88	14620
6	92	13146
7	100	12428
8	104	11549
9	110	10978
10	116	10448
11	122	10046
12	130	9933
13	135	9539
14	139	9147
15	143	8830
16	147	8547
17	151	8283
18	155	8050
19	159	7824
20	163	7641
21	168	7508
22	173	7353
23	176	7197
24	181	7083
25	187	7009
26	191	6917
27	196	6826
28	202	6794
29	208	6743
30	214	6703
31	218	6623
32	224	6565
33	229	6513
34	233	6434
35	238	6397
36	243	6347
37	249	6312
38	258	6362
39	339	8149
40	368	8625
41	378	8622
42	404	8998
43	414	9002
44	425	9034
45	434	9017
46	445	9028
47	453	8988
48	462	8966
49	473	8995
50	480	8933
51	488	8902
52	500	8942
53	507	8896
54	518	8902
55	526	8867
56	534	8849
57	542	8808
58	550	8783
59	562	8807
60	570	8780
61	578	8745
62	586	8718
63	592	8660
64	599	8621
65	606	8578
66	613	8539
67	620	8506
68	626	8448
69	632	8402
70	638	8348
71	643	8294
72	648	8231
73	653	8178
74	657	8114
75	663	8068
76	669	8020
77	673	7965
78	678	7912
79	683	7861
80	687	7797
81	692	7751
82	696	7699
83	702	7663
84	710	7644
85	714	7594
86	718	7544
87	723	7500
88	729	7465
89	734	7422
90	738	7377
91	744	7345
92	749	7306
93	754	7270
94	760	7249
95	764	7201
96	769	7161
97	774	7130
98	780	7101
99	785	7069
100	790	7039
101	795	7002
102	800	6974
103	807	6953
104	812	6925
105	817	6894
106	823	6874
107	829	6848
108	834	6823
109	840	6801
110	845	6771
111	849	6735
112	854	6707
113	859	6678
114	865	6657
115	870	6635
116	874	6602
117	879	6574
118	885	6553
119	890	6533
120	894	6501
121	899	6470
122	904	6449
123	909	6425
124	914	6398
125	920	6383
126	924	6351
127	928	6324
128	933	6300
129	939	6285
130	943	6255
131	947	6232
132	952	6212
133	959	6198
134	969	6210
135	975	6194
136	982	6187
137	991	6195
138	997	6181
139	1001	6151
140	1007	6137
141	1014	6127
142	1024	6136
143	1029	6118
144	1035	6108
145	1041	6090
146	1047	6075
147	1052	6060
148	1060	6055
149	1066	6043
150	1073	6037
151	1080	6028
152	1087	6017
153	1093	6006
154	1099	5993
155	1105	5980
156	1112	5970
157	1118	5962
158	1126	5957
159	1133	5949
160	1139	5936
161	1145	5926
162	1151	5911
163	1157	5901
164	1163	5888
165	1169	5877
166	1175	5863
167	1181	5851
168	1186	5836
169	1193	5825
170	1198	5810
171	1203	5791
172	1209	5784
173	1215	5771
174	1222	5761
175	1227	5747
176	1232	5729
177	1237	5715
178	1243	5702
179	1248	5688
180	1253	5672
181	1258	5655
182	1264	5643
183	1269	5629
184	1275	5618
185	1279	5598
186	1283	5581
187	1288	5567
188	1292	5545
189	1297	5529
190	1302	5518
191	1307	5501
192	1312	5489
193	1318	5476
194	1325	5471
195	1330	5457
196	1335	5443
197	1339	5426
198	1343	5406
199	1347	5388
200	1351	5374
201	1356	5359
202	1362	5347
203	1366	5331
204	1371	5318
205	1376	5304
206	1381	5291
207	1386	5278
208	1391	5266
209	1396	5252
210	1401	5239
211	1405	5223
212	1411	5213
213	1415	5198
214	1419	5181
215	1424	5170
216	1429	5157
217	1433	5143
218	1437	5124
219	1442	5114
220	1447	5101
221	1452	5090
222	1456	5074
223	1459	5055
224	1463	5042
225	1468	5028
226	1472	5013
227	1477	5002
228	1481	4987
229	1486	4977
230	1491	4963
231	1495	4950
232	1501	4941
233	1506	4931
234	1510	4917
235	1514	4903
236	1520	4895
237	1525	4883
238	1529	4869
239	1533	4857
240	1539	4847
241	1544	4837
242	1548	4825
243	1554	4815
244	1557	4800
245	1561	4786
246	1567	4778
247	1572	4767
248	1577	4756
249	1582	4747
250	1587	4737
251	1593	4730
252	1598	4719
253	1603	4709
254	1608	4699
255	1612	4686
256	1618	4678
257	1622	4665
258	1628	4660
259	1634	4652
260	1637	4637
261	1644	4632
262	1650	4626
263	1655	4614
264	1659	4601
265	1664	4592
266	1669	4582
267	1674	4572
268	1679	4563
269	1686	4559
270	1691	4550
271	1698	4545
272	1703	4537
273	1708	4527
274	1715	4522
275	1720	4514
276	1727	4509
277	1735	4507
278	1740	4498
279	1746	4491
280	1751	4481
281	1756	4473
282	1762	4464
283	1768	4458
284	1773	4450
285	1778	4440
286	1784	4432
287	1790	4427
288	1797	4421
289	1803	4416
290	1809	4409
291	1815	4400
292	1822	4396
293	1827	4389
294	1833	4381
295	1839	4374
296	1844	4366
297	1850	4358
298	1855	4349
299	1860	4340
300	1866	4335
301	1871	4324
302	1877	4318
303	1882	4311
304	1886	4298
305	1892	4291
306	1897	4283
307	1901	4272
308	1906	4263
309	1910	4252
310	1913	4240
311	1917	4229
312	1922	4219
313	1925	4207
314	1931	4200
315	1935	4188
316	1940	4180
317	1944	4170
318	1949	4161
319	1954	4154
320	1958	4142
321	1961	4130
322	1967	4122
323	1971	4113
324	1975	4103
325	1982	4097
326	1988	4091
327	1993	4083
328	1998	4076
329	2003	4067
330	2008	4059
331	2014	4052
332	2019	4045
333	2024	4037
334	2030	4030
335	2034	4020
336	2038	4010
337	2044	4003
338	2048	3995
339	2054	3987
340	2058	3978
341	2063	3970
342	2067	3960
343	2072	3951
344	2078	3945
345	2083	3937
346	2087	3928
347	2092	3921
348	2097	3913
349	2102	3904
350	2107	3896
351	2112	3888
352	2121	3889
353	2129	3885
354	2133	3876
355	2138	3868
356	2145	3864
357	2153	3861
358	2158	3853
359	2163	3845
360	2169	3839
361	2175	3833
362	2180	3826
363	2185	3819
364	2191	3812
365	2196	3805
366	2202	3798
