iter	RMSE
0	10553413.71
1	11786803.77
2	12410808.6
3	12671725.99
4	12763177.23
5	12770648.27
6	12727402.83
7	12655025.49
8	12560272.64
9	12464535.32
10	12358788.53
11	12236608.55
12	12030762.42
13	11933263.07
14	11825311.34
15	11722098.06
16	11537538.82
17	11461963.31
18	11374482.17
19	11305028.36
20	11236784.87
21	11170656.2
22	11104937.24
23	11055319.67
24	11007637.4
25	10961123.55
26	10918997.33
27	10878218.83
28	10816073.87
29	10703270.69
30	10675541.02
31	10589242.55
32	10562793.15
33	10536235.47
34	10470411.99
35	10449071.28
36	10347727.13
37	10323080.02
38	10309645.52
39	10297011.55
40	10229060.56
41	10216503.29
42	10133263.05
43	10124761.72
44	10047660.1
45	10035991.11
46	9969973.002
47	9951016.469
48	9932721.039
49	9876129.534
50	9840950.892
51	9816872.262
52	9721619.531
53	9677764.877
54	9627705.251
55	9570914.728
56	9561238.444
57	9559385.115
58	9524252.134
59	9485495.856
60	9390486.208
61	9347291.956
62	9310751.718
63	9274134.507
64	9273896.24
65	9246371.926
66	9178140.773
67	9180335.661
68	9176677.847
69	9171122.164
70	9161446.464
71	9159856.258
72	9156521.204
73	9159269.1
74	9135957.939
75	9064696.84
76	9043039.716
77	9046331.842
78	8970657.658
79	8917709.732
80	8860347.807
81	8780045.646
82	8674952.101
83	8594698.859
84	8568514.267
85	8515851.795
86	8487278.635
87	8446181.728
88	8416966.649
89	8375294.03
90	8329914.455
91	8316571.545
92	8293651.583
93	8257517.803
94	8254433.44
95	8230624.618
96	8145367.004
97	8148602.976
98	8129761.509
99	8114565.704
100	8095819.444
101	8069357.986
102	8033466.434
103	8014994.792
104	7932674.608
105	7912802.433
106	7917656.012
107	7923153.71
108	7922540.085
109	7905959.688
110	7889797.864
111	7886538.741
112	7879145.651
113	7872210.986
114	7797999.803
115	7786141.891
116	7781335.358
117	7740945.986
118	7684158.842
119	7669149.767
120	7674279.054
121	7672466.22
122	7667318.266
123	7627875.506
124	7585203.435
125	7549436.88
126	7536753.986
127	7524886.755
128	7493004.31
129	7433259.846
130	7423880.917
131	7402593.809
132	7360324.883
133	7327949.557
134	7332681.673
135	7313816.414
136	7300833.898
137	7271186.825
138	7255382.024
139	7217247.421
140	7199425.877
141	7158845.336
142	7152781.953
143	7118880.41
144	7090067.8
145	7055642.808
146	6997621.848
147	6957933.072
148	6929359.35
149	6891165.272
150	6838926.637
151	6822164.309
152	6805678.556
153	6743203.738
154	6694594.252
155	6646574.579
156	6633413.279
157	6548694.301
158	6477852.449
159	6415660.077
160	6349363.896
161	6292308.756
162	6261174.155
163	6220133.983
164	6168290.281
165	6111152.712
166	6049908.346
167	6003173.463
168	5949273.549
169	5884532.399
170	5833051.656
171	5801173.173
172	5755890.746
173	5720232.608
174	5683264.63
175	5643762.668
176	5601351.803
177	5563274.672
178	5533723.939
179	5493236.519
180	5453871.978
181	5418125.123
182	5380671.112
183	5337744.84
184	5311610.34
185	5286238.691
186	5259019.21
187	5221400.58
188	5182925.928
189	5151526.635
190	5108414.399
191	5085217.296
192	5062770.568
193	5036411.052
194	5010948.774
195	4988642.186
196	4963135.497
197	4941043.226
198	4915723.799
199	4894606.552
200	4867634.552
201	4844806.649
202	4824262.537
203	4804428.614
204	4786011.779
205	4768529.953
206	4747643.256
207	4727610.079
208	4711005.143
209	4687332.15
210	4673345.394
211	4658331.41
212	4641741.126
213	4625050.558
214	4608080.977
215	4592825.147
216	4579431.674
217	4565711.285
218	4547661.189
219	4536863.887
220	4523612.316
221	4508974.867
222	4490153.264
223	4474571.509
224	4459741.653
225	4445079.034
226	4431397.225
227	4415534.096
228	4399217.529
229	4385544.063
230	4375744.329
231	4365509.461
232	4352514.494
233	4340732.122
234	4325850.022
235	4313968.659
236	4299220.926
237	4288270.789
238	4278614.061
239	4265810.127
240	4247197.83
241	4236736.658
242	4225361.064
243	4211334.855
244	4198974.746
245	4185643.612
246	4178331.894
247	4168367.707
248	4155845.522
249	4134658.168
250	4125661.739
251	4115893.386
252	4099835.234
253	4090870.303
