iter	Passed	Remaining
0	1533	7664289
1	2765	6912158
2	3890	6481095
3	4859	6069759
4	5768	5762961
5	6854	5705095
6	7740	5520933
7	8696	5426415
8	9601	5324575
9	10449	5214403
10	11366	5155101
11	12232	5084608
12	13088	5020981
13	13996	4984614
14	14877	4944177
15	15947	4967543
16	16828	4932717
17	17691	4896638
18	18577	4870363
19	19458	4845230
20	20322	4818412
21	21193	4795489
22	22043	4769959
23	22928	4753771
24	23846	4745487
25	24742	4733384
26	25601	4715407
27	25767	4575552
28	26674	4572338
29	27552	4564544
30	28406	4553316
31	29260	4542720
32	30112	4532427
33	30972	4523828
34	31869	4520906
35	32718	4511508
36	33840	4539160
37	34906	4558076
38	35781	4551540
39	36655	4545231
40	37515	4537519
41	38415	4534855
42	39301	4530583
43	40201	4528137
44	41099	4525553
45	42005	4523863
46	42875	4518362
47	43714	4509856
48	44589	4505322
49	45420	4496590
50	46246	4487759
51	47197	4490993
52	48107	4490296
53	49008	4488841
54	49973	4493077
55	50863	4490516
56	51712	4484460
57	52599	4481823
58	53500	4480441
59	54437	4482018
60	55312	4478479
61	56171	4473773
62	57057	4471308
63	57916	4466834
64	58781	4462908
65	59646	4459012
66	60652	4465629
67	61529	4462710
68	62422	4460970
69	63315	4459219
70	64218	4458241
71	65070	4453719
72	65931	4449931
73	66842	4449563
74	67739	4448222
75	68685	4450086
76	69616	4450919
77	70614	4455943
78	71488	4453069
79	72347	4449379
80	73220	4446564
81	74191	4449658
82	75124	4450454
83	76075	4452237
84	76996	4452231
85	77904	4451454
86	78812	4450629
87	79749	4451470
88	80675	4451641
89	81539	4448444
90	82391	4444618
91	83293	4443526
92	84217	4443582
93	85105	4441766
94	85958	4438177
95	86793	4433712
96	87695	4432703
97	88595	4431599
98	89456	4428529
99	90350	4427157
100	91249	4426043
101	92228	4428758
102	93073	4425066
103	94049	4427578
104	95058	4431548
105	96260	4444332
106	97181	4444032
107	98112	4444150
108	99061	4445061
109	100008	4445817
110	100924	4445241
111	101862	4445572
112	103714	4485420
113	105389	4516949
114	106348	4517518
115	107221	4514374
116	108081	4510804
117	108969	4508380
118	109826	4504722
119	110691	4501461
120	111590	4499600
121	112629	4503349
122	113573	4503249
123	114571	4505257
124	115579	4507590
125	116455	4504785
126	117392	4504378
127	118312	4503279
128	119191	4500652
129	120127	4500165
130	120983	4496712
131	121862	4494136
132	122908	4497696
133	123974	4501941
134	124857	4499512
135	125904	4502923
136	126831	4502048
137	127688	4498691
138	128542	4495291
139	129473	4494582
140	130362	4492432
141	131243	4490009
142	132108	4487065
143	132959	4483700
144	134209	4493702
145	135491	4504641
146	136532	4507427
147	137681	4513718
148	138624	4513188
149	139531	4511505
150	140357	4507248
151	141176	4502791
152	142011	4498882
153	142978	4499174
154	143916	4498555
155	144843	4497586
156	145719	4495038
157	146653	4494271
158	147460	4489657
159	148301	4486121
160	149170	4483454
161	150104	4482749
162	151082	4483352
163	152103	4485186
164	153026	4484127
165	153917	4482165
166	154819	4480498
167	155795	4480969
168	156705	4479550
169	157575	4477012
170	158467	4475095
171	159442	4475512
172	160281	4472122
173	161133	4469152
174	161993	4466389
175	163020	4468256
176	164001	4468801
177	164864	4466157
178	165880	4467645
179	166943	4470373
180	167966	4471981
181	168906	4471385
182	169752	4468303
183	170654	4466708
184	171716	4469267
185	172615	4467574
186	173453	4464335
187	174276	4460740
188	175161	4458736
189	176009	4455826
190	176901	4454037
191	177811	4452701
192	178661	4449870
193	179492	4446597
194	180622	4450727
195	181615	4451436
196	182511	4449754
197	183360	4446963
198	184276	4445794
199	185151	4443625
200	186070	4442540
201	186982	4441298
202	187816	4438200
203	188760	4437731
204	189650	4435967
205	190512	4433571
206	191427	4432418
207	192282	4429901
208	193212	4429107
209	194047	4426135
210	194861	4422710
211	195726	4420460
212	196636	4419252
213	197500	4416991
214	198402	4415616
215	199273	4413533
216	200227	4413315
217	201103	4411363
218	201972	4409275
219	202863	4407670
220	203764	4406289
221	204664	4404889
222	205570	4403643
223	206556	4404083
224	207503	4403689
225	208440	4403078
226	209331	4401484
227	210272	4400971
228	211184	4399840
229	212088	4398525
230	212940	4396170
231	213861	4395217
232	214725	4393115
233	215646	4392186
234	216555	4390999
235	217460	4389759
236	218403	4389264
237	219357	4388999
238	220209	4386691
239	221156	4386279
240	222114	4386069
241	223008	4384600
242	223916	4383424
243	224859	4382913
244	225775	4381891
245	226688	4380801
246	227688	4381399
247	228665	4381533
248	229605	4380946
249	230504	4379576
250	231448	4379085
251	232487	4380351
252	233388	4379027
253	234283	4377593
254	235218	4376908
255	236119	4375592
256	237015	4374189
257	237863	4371901
258	238808	4371385
259	239698	4369887
260	240589	4368403
261	241515	4367553
262	242425	4366433
263	243275	4364214
264	244193	4363233
265	245054	4361236
266	245887	4358749
267	246740	4356622
268	247625	4355086
269	248601	4355131
270	249525	4354270
271	250438	4353212
272	251284	4350994
273	252151	4349148
274	253066	4348135
275	253934	4346331
276	254877	4345796
277	255733	4343797
278	256596	4341907
279	257490	4340554
280	258444	4340207
281	259289	4338040
282	260188	4336785
283	261023	4334459
284	261895	4332765
285	262796	4331548
286	263800	4332019
287	264724	4331192
288	265612	4329767
289	266439	4327340
290	267283	4325213
291	268177	4323904
292	269072	4322600
293	269914	4320464
294	270831	4319531
295	271754	4318688
296	272642	4317301
297	273545	4316141
298	274381	4313936
299	275306	4313132
300	276192	4311725
301	277114	4310868
302	277977	4309106
303	278937	4308850
304	279913	4308826
305	280812	4307620
306	281735	4306787
307	282591	4304930
308	283475	4303506
309	284353	4301988
310	285180	4299718
311	286070	4298399
312	286982	4297408
313	287907	4296612
314	288820	4295636
315	289668	4293690
316	290571	4292572
317	291507	4291943
318	292411	4290846
319	293330	4289957
320	294293	4289717
321	295433	4292041
322	296343	4291017
323	297201	4289244
324	298067	4287592
325	298925	4285828
326	299837	4284837
327	300766	4284086
328	301657	4282800
329	302509	4280970
330	303488	4280932
331	304463	4280823
332	305440	4280748
333	306373	4280049
334	307262	4278747
335	308173	4277739
336	309038	4276102
337	309874	4274074
338	310720	4272183
339	311666	4271666
340	312502	4269645
341	313360	4267931
342	314194	4265894
343	315058	4264283
344	315999	4263702
345	316896	4262538
346	317756	4260867
347	318616	4259206
348	319491	4257752
349	320373	4256395
350	321224	4254625
351	322077	4252885
352	322956	4251500
353	323879	4250696
354	324786	4249676
355	325660	4248219
356	326617	4247862
357	327463	4246043
358	328322	4244411
359	329150	4242389
360	330023	4240940
361	330875	4239225
362	331766	4238023
363	332644	4236649
364	333520	4235252
365	334482	4234952
366	335344	4233375
367	336168	4231335
368	337010	4229531
369	337888	4228177
370	338916	4228688
371	340038	4230371
372	340969	4229662
373	341907	4229043
374	342923	4229392
375	344105	4231762
376	345006	4230672
377	345920	4229747
378	346781	4228174
379	347747	4227882
380	348681	4227195
381	349660	4227045
382	350561	4225957
383	351450	4224723
384	352508	4225518
385	353440	4224805
386	354412	4224555
387	355310	4223436
388	356160	4221741
389	357758	4228885
390	359792	4241138
391	360831	4241609
392	362161	4245485
393	363247	4246487
394	364117	4244968
395	365044	4244098
396	365959	4243098
397	366865	4241996
398	367742	4240558
399	368637	4239333
400	369475	4237453
401	370343	4235919
402	371224	4234540
403	372132	4233472
404	373006	4232011
405	373827	4229961
406	374712	4228638
407	375672	4228151
408	376536	4226601
409	377425	4225327
410	378375	4224731
411	379296	4223817
412	380158	4222248
413	381016	4220636
414	381882	4219114
415	382801	4218181
416	383779	4217892
417	384700	4216977
418	385598	4215810
419	386463	4214290
420	387413	4213701
421	388297	4212388
422	389166	4210912
423	390019	4209264
424	390958	4208558
425	391921	4208096
426	392770	4206410
427	393704	4205652
428	394583	4204287
429	395465	4202965
430	396326	4201432
431	397217	4200205
432	398118	4199089
433	398966	4197422
434	399842	4196048
435	400700	4194490
436	401526	4192603
437	402424	4191459
438	403309	4190196
439	404249	4189492
440	405104	4187921
441	405931	4186051
442	406859	4185232
443	407741	4183939
444	408609	4182507
445	409488	4181186
446	410389	4180097
447	411261	4178711
448	412117	4177167
449	412958	4175468
450	413789	4173675
451	414686	4172557
452	415583	4171430
453	416428	4169792
454	417249	4167906
455	418134	4166673
456	419047	4165721
457	419919	4164355
458	420786	4162947
459	421715	4162147
460	422573	4160654
461	423450	4159350
462	424333	4158097
463	425226	4156958
464	426092	4155546
465	427028	4154825
466	428114	4155549
467	429030	4154631
468	429886	4153123
469	430778	4151974
470	431639	4150522
471	432496	4149035
472	433342	4147440
473	434248	4146429
474	435167	4145545
475	436029	4144113
476	436884	4142622
477	437786	4141573
478	438654	4140202
479	439550	4139096
480	440444	4137985
481	441288	4136389
482	442145	4134929
483	443029	4133724
484	443884	4132243
485	444786	4131204
486	445674	4130036
487	446506	4128353
488	447377	4127030
489	448221	4125466
490	449154	4124721
491	450039	4123535
492	450955	4122633
493	451801	4121088
494	452626	4119355
495	453464	4117753
496	454292	4116053
497	455133	4114483
498	455999	4113134
499	456945	4112510
500	457778	4110869
501	458713	4110149
502	459585	4108861
503	460474	4107720
504	461466	4107512
505	462390	4106688
506	463278	4105546
507	464185	4104573
508	465054	4103261
509	465947	4102165
510	466822	4100913
511	467757	4100183
512	468660	4099182
513	469520	4097803
514	470351	4096168
515	471238	4095024
516	472171	4094285
517	473069	4093240
518	473951	4092056
