iter	RMSE
0	38943597.42
1	37408182.99
2	36370898.41
3	35542641.57
4	34219307.15
5	33510589.47
6	32392210.06
7	31379706.41
8	31000705.32
9	30715491.81
10	29804991.65
11	29566534.13
12	29349824.31
13	28641737.37
14	28470997.95
15	28231827.34
16	27416493.8
17	26944163.58
18	26725015.48
19	26318192.01
20	25964657.8
21	25860786.53
22	25217827.98
23	24631696.54
24	24298130.96
25	24177426.86
26	23701258
27	23485663.7
28	23025191.32
29	22788352.01
30	22336738.94
31	21944365.74
32	21607991.61
33	21288691.39
34	20999253.86
35	20692780.63
36	20406355.76
37	20138004.38
38	19914341.27
39	19701023.91
40	19493768.88
41	19290606.58
42	19077768.24
43	18851952.91
44	18673990.29
45	18526469.32
46	18355109.43
47	18234521.28
48	18081281.31
49	17900313.41
50	17772830.55
51	17639888.71
52	17513523.38
53	17435521
54	17314942.53
55	17231984.01
56	17166352.86
57	17045337.87
58	16874839.74
59	16776654.21
60	16715052.82
61	16602014.69
62	16512189.49
63	16420695.05
64	16360339.22
65	16293279.01
66	16175304.07
67	16097813.25
68	15995367.84
69	15954081.43
70	15879111.11
71	15808708.7
72	15759882.61
73	15684889.4
74	15645733.58
75	15578580.43
76	15502389.94
77	15426415.12
78	15368301.18
79	15318581.81
80	15247595.14
81	15190509.28
82	15137102.97
83	15091848.42
84	15057829.26
85	15021984.65
86	14987505.08
87	14958541.53
88	14906114.62
89	14855964.44
90	14814947.74
91	14759306.23
92	14724146.69
93	14663625.08
94	14628610.61
95	14587669.73
96	14550127.5
97	14524423.27
98	14486430.19
99	14462392.19
100	14441435.61
101	14406140.19
102	14365058.59
103	14317423.56
104	14286796.09
105	14245717.08
106	14230806.5
107	14199918.47
108	14178663.92
109	14144906.84
110	14117427.77
111	14084829.47
112	14042570.33
113	14016671.19
114	13965679.68
115	13934267.18
116	13905809.12
117	13870753.37
118	13839494.62
119	13817045.17
120	13800109.9
121	13771965.45
122	13737093.64
123	13709749.05
124	13672029.11
125	13652948.39
126	13629038.81
127	13592466.08
128	13565589.54
129	13553869.16
130	13512953.73
131	13501246.24
132	13473752.4
133	13464683.52
134	13438801.89
135	13416429.82
136	13388410.17
137	13365020.77
138	13333269.25
139	13321881.01
140	13310736.11
141	13289897.93
142	13278698.22
143	13257463.23
144	13227739.78
145	13195208.36
146	13170283.93
147	13149988.09
148	13130740.06
149	13120099.22
150	13103943.33
151	13072886.4
152	13065780.78
153	13049909.95
154	13030429.93
155	12994265.56
156	12975433.36
157	12956927.88
158	12945492.05
159	12923118.35
160	12913792.18
161	12881499.8
162	12860854.87
163	12840823.89
164	12819295.5
165	12796888.87
166	12791000.29
167	12772483.19
168	12754156.38
169	12745385.99
170	12725419.76
171	12707903.12
172	12676507.35
173	12652858.78
174	12637445.6
175	12608236.52
176	12591530.86
177	12578082.31
178	12554736.17
179	12537089.87
180	12519362.36
181	12492929.12
182	12475749.89
183	12467137.45
184	12448965.82
185	12431951.61
186	12422723.48
187	12414573.81
188	12406662.82
189	12396274.15
190	12369495.44
191	12353796.17
192	12341140.11
193	12332779.53
194	12300626.85
195	12278976.55
196	12255902.62
197	12235810.65
198	12221297.93
199	12198277.38
200	12184816.73
201	12149841.74
202	12132044.95
203	12113994.19
204	12107045.06
205	12091024.47
206	12072076.86
207	12059242.25
208	12042621.91
209	12027217.44
210	12015015.59
211	12001785.15
212	11993212.87
213	11966979.47
214	11952504.54
215	11941214.59
216	11935347.96
217	11920802.97
218	11904591.81
219	11881041.81
220	11864870.33
221	11845658.56
222	11833434.55
223	11810339.19
224	11795144.48
225	11783380.65
226	11760281.42
227	11748647.73
228	11742130.22
229	11734386.58
230	11723286.04
231	11719046.04
232	11699080.12
233	11684544.67
234	11679966.08
235	11678101.18
236	11659827.55
237	11649764.58
238	11636273.72
239	11623730.52
240	11612964.78
241	11597752.44
242	11585740.5
243	11575429.47
244	11555535.67
245	11544548.02
246	11525657.68
247	11516028.51
248	11512135.94
249	11506415.29
250	11500135.43
251	11488093.27
252	11474937.72
253	11464105.01
254	11450560.78
255	11441345.85
256	11423229.96
257	11413013.24
258	11408058.76
259	11388478.59
260	11385555.7
261	11380348.33
262	11375636
263	11365686.37
264	11362128.14
265	11352285.51
266	11339087.9
267	11319382.26
268	11311556.88
269	11294218.73
270	11279096.03
271	11275332.91
272	11262424.34
273	11251409.06
274	11242210.1
275	11236150.72
276	11232200.25
277	11222900.05
278	11212905.12
279	11192115.64
280	11183970.6
281	11173770.76
282	11159175.69
283	11147826.51
284	11144250.81
285	11134896.79
286	11121119.72
287	11110817.7
288	11102681.1
289	11094288.53
290	11091769.46
291	11075160.94
292	11072108.82
293	11064367.78
294	11054028.96
295	11037122.84
296	11030770.94
297	11017676.3
298	11007359.63
299	10996848.02
300	10995110.7
301	10990317.22
302	10976919.68
303	10968689.24
304	10960372.49
305	10950361.21
306	10941291.4
307	10934043.22
308	10927824.69
309	10924493.1
310	10915398.86
311	10903011.95
312	10894258.2
313	10887191.2
314	10874715.34
315	10866518.15
316	10857231.18
317	10847399.4
318	10835067.35
319	10811617.09
320	10802303.75
321	10795170.35
322	10788489.64
323	10781222.14
324	10767002.58
325	10746075.71
326	10734985.28
327	10724061.25
328	10717117.89
329	10706187.65
330	10689115.86
331	10684106.13
332	10677344.24
333	10670190.39
334	10655102.83
335	10648323.06
336	10644698.41
337	10636248.73
338	10629163.27
339	10624971.97
340	10616818.05
341	10614473.68
342	10605834.64
343	10599653.36
344	10591760.3
345	10587366.12
346	10580858.55
347	10577209.87
348	10571719.9
349	10558724.34
350	10552329.39
351	10547829.07
352	10533638.35
353	10527772.99
354	10522277.97
355	10508252.78
356	10498494.58
357	10475666.25
358	10470337.21
359	10462503.17
360	10458388.68
361	10449166.49
362	10444915.43
363	10440326.34
364	10428288.48
365	10418356.12
366	10407797
367	10395182.16
368	10388191.29
369	10372522.22
370	10367985.18
371	10363329.99
372	10349877.88
373	10343696.66
374	10338330.99
375	10324003.51
376	10315704.63
377	10309248.83
378	10300630.8
379	10294683.39
380	10290486.96
381	10275263.14
382	10261426.35
383	10248083.38
384	10241921.37
385	10229195.08
386	10220373.24
387	10213234.43
388	10210534.57
389	10200251.53
390	10188729.31
391	10176802.24
392	10167804.12
393	10158119.74
394	10151376.38
395	10143274.52
396	10138035.73
397	10130960.6
398	10128380.78
399	10117899.33
400	10110368.81
401	10106462.18
402	10096781.55
403	10089889.52
404	10076348.62
405	10065359.72
406	10059331.28
407	10041004.8
408	10035248.44
409	10027889.86
410	10016962.9
411	10010659.63
412	10005072.86
413	9996651.534
414	9991548.222
415	9986582.323
416	9980507.192
417	9977458.203
418	9972598.531
419	9963836.945
420	9955362.833
421	9951220.714
422	9946892.03
423	9939424.103
424	9931289.236
425	9928586.977
426	9917867.214
427	9911929.703
428	9908212.78
429	9902501.62
430	9895674.63
431	9891525.16
432	9887019.216
433	9883898.172
434	9877667.88
435	9873453.797
436	9861899.491
437	9858487.211
438	9853348.092
439	9848319.617
440	9844296.773
441	9839524.017
442	9832644.782
443	9829206.867
444	9824119.425
445	9815227.412
446	9802859.859
447	9792499.486
448	9785807.089
449	9781611.185
450	9774869.696
451	9773312.334
452	9770142.045
453	9766237.648
454	9759233.013
455	9754285.727
456	9748452.878
457	9740337.95
458	9733815.836
459	9727670.33
460	9721807.944
461	9711712.554
462	9706623.276
463	9696147.872
464	9688619.329
465	9681475.91
466	9678152.231
467	9674810.334
468	9666369.46
469	9663288.164
470	9656327.279
471	9653132.633
472	9645388.715
473	9638952.916
474	9633091.772
475	9630461.851
476	9624470.714
477	9620240.15
478	9608771.322
479	9606283.614
480	9595658.131
481	9589740.361
482	9582935.149
483	9577990.451
484	9567898.807
485	9566564.332
486	9561164.836
487	9558745.745
488	9553881.9
489	9550942.175
490	9547209.767
491	9540817.521
492	9536409.946
493	9525564.873
494	9520585.508
495	9512177.817
496	9510504.659
497	9505475.85
498	9499966.112
499	9495709.914
500	9492058.835
501	9488980.657
502	9486201.902
503	9479326.073
504	9476603.619
505	9472775.111
506	9468108.614
507	9464345.43
508	9458647.977
509	9454872.869
510	9444707.419
511	9440798.786
512	9434395.1
513	9424418.498
514	9418705.648
515	9414049.555
516	9409718.808
517	9404304.214
518	9397270.924
519	9394090.964
520	9390202.938
521	9382617.041
522	9378366.117
523	9372490.339
524	9364252.42
525	9360218.052
526	9354888.418
527	9344042.504
528	9339632.106
529	9335319.462
530	9328950.418
531	9326627.888
532	9321047.815
533	9318957.115
534	9312902.139
535	9307400.34
536	9304170.912
537	9298318.462
538	9295037.069
539	9291288.192
540	9285509.188
541	9280742.363
542	9273762.235
543	9270143.087
544	9265305.083
545	9259549.972
546	9252060.106
547	9245823.18
548	9230345.39
549	9226085.226
550	9220603.353
551	9210256.169
552	9204597.051
553	9193473.197
554	9189995.666
555	9185989.817
556	9178557.465
557	9173791.924
558	9160215.586
559	9157647.065
560	9155170.641
561	9149438.785
562	9145914.459
563	9143009.603
564	9139672.645
565	9132415.944
566	9127194.793
567	9121567.818
568	9114553.224
569	9108548.791
570	9102633.687
571	9097916.799
572	9094579.878
573	9091978.258
574	9089109.478
575	9083829.453
576	9078153.553
577	9074569.401
578	9071984.184
579	9068211.603
580	9060000.622
581	9053154.703
582	9047306.586
583	9044562.156
584	9042221.463
585	9037680.559
586	9033359.304
587	9030450.963
588	9025809.84
589	9021567.79
590	9016536.656
591	9011855.586
592	9004132.22
593	9001132.998
594	8995311.417
595	8991421.524
596	8985125.56
597	8977810.446
598	8972843.49
599	8966322.246
600	8963755.514
601	8959035.55
602	8955681.809
603	8951812.924
604	8949167.807
605	8945392.175
606	8939389.423
607	8934245.943
608	8929286.961
609	8926035.587
610	8921748.313
611	8917056.344
612	8905742.888
613	8903354.149
614	8898594.977
615	8893165.108
616	8890125.629
617	8886367.827
618	8882397.823
619	8876889.256
620	8873460.817
621	8869230.203
622	8867732.782
623	8860977.831
624	8858661.525
625	8856981.449
626	8852031.884
627	8850163.385
628	8842950.478
629	8838754.425
630	8836309.515
631	8830409.43
632	8822892.59
633	8813119.071
634	8809566.866
635	8802308.799
636	8797667.373
637	8795112.099
638	8788096.49
639	8785302.058
640	8781836.613
641	8776599.07
642	8774498.511
643	8771246.893
644	8767721.366
645	8763040.305
646	8760459.139
647	8754104.011
648	8749141.478
649	8745349.394
650	8733971.47
651	8726818.563
652	8722913.35
653	8719674.641
654	8718265.232
655	8716122.501
656	8707862.559
657	8703107.335
658	8701199.154
659	8697300.754
660	8694189.143
661	8691735.357
662	8687474.629
663	8681313.179
664	8678287.902
665	8676089.181
666	8671257.794
667	8668100.133
668	8663223.836
669	8661448.636
670	8654548.684
671	8651918.721
672	8646736.419
673	8643616.731
674	8639896.558
675	8636716.414
676	8629674.832
677	8627737.23
678	8624990.639
679	8616994.238
680	8613215.333
681	8608646.583
682	8604807.969
683	8602953.133
684	8596293.546
685	8591578.627
686	8585891.542
687	8583842.612
688	8579452.912
689	8575528.289
690	8573562.683
691	8569457.226
692	8564525.29
693	8562725.746
694	8559694.656
695	8556885.758
696	8553003.748
697	8549721.476
