iter	Passed	Remaining
0	65	262369
1	69	139863
2	71	95532
3	73	73250
4	74	59857
5	76	50830
6	77	44482
7	79	39716
8	81	36096
9	83	33153
10	84	30717
11	86	28685
12	88	27069
13	89	25622
14	91	24291
15	93	23204
16	94	22235
17	97	21508
18	99	20899
19	102	20337
20	103	19661
21	105	19087
22	107	18547
23	108	18005
24	110	17529
25	111	17088
26	113	16708
27	114	16303
28	116	15924
29	117	15587
30	119	15271
31	121	15015
32	122	14757
33	124	14500
34	125	14250
35	127	14036
36	129	13825
37	130	13622
38	132	13437
39	133	13252
40	135	13067
41	136	12899
42	138	12752
43	140	12609
44	142	12493
45	143	12370
46	145	12246
47	147	12184
48	149	12078
49	151	11955
50	152	11834
51	154	11731
52	155	11615
53	157	11506
54	159	11414
55	160	11326
56	162	11237
57	163	11140
58	165	11050
59	166	10956
60	168	10872
61	169	10787
62	171	10705
63	172	10634
64	174	10561
65	176	10497
66	177	10444
67	179	10387
68	181	10323
69	182	10262
70	184	10211
71	186	10162
72	188	10121
73	189	10070
74	191	10035
75	193	9990
76	195	9944
77	197	9917
78	199	9896
79	201	9859
80	202	9817
81	204	9777
82	206	9742
83	208	9719
84	209	9671
85	211	9635
86	213	9596
87	215	9590
88	218	9585
89	220	9598
90	223	9599
91	227	9646
92	229	9653
93	234	9751
94	237	9758
95	239	9757
96	241	9721
97	244	9751
98	247	9753
99	249	9741
100	254	9806
101	257	9827
102	261	9898
103	263	9883
104	266	9893
105	269	9885
106	271	9862
107	273	9847
108	275	9827
109	277	9808
110	279	9794
111	282	9797
112	284	9793
113	287	9800
114	291	9848
115	294	9848
116	298	9890
117	303	9968
118	306	9993
119	309	9993
120	311	9980
121	315	10037
122	320	10101
123	322	10087
124	324	10057
125	326	10027
126	328	10003
127	331	10021
128	333	10008
129	335	9991
130	337	9981
131	339	9956
132	341	9936
133	343	9911
134	346	9908
135	348	9907
136	351	9915
137	355	9959
138	357	9938
139	359	9916
140	361	9897
141	364	9890
142	365	9865
143	367	9841
144	369	9822
145	371	9794
146	372	9768
147	374	9740
148	376	9730
149	378	9707
150	379	9684
151	381	9657
152	383	9631
153	384	9612
154	386	9583
155	387	9554
156	389	9537
157	391	9519
158	393	9503
159	395	9486
160	396	9466
161	399	9455
162	401	9452
163	403	9439
164	405	9434
165	408	9433
166	410	9414
167	411	9394
168	413	9372
169	415	9353
170	417	9343
171	419	9327
172	421	9321
173	423	9322
174	425	9305
175	427	9290
176	429	9266
177	430	9246
178	432	9224
179	433	9204
180	435	9184
181	436	9162
182	438	9146
183	439	9123
184	441	9101
185	442	9082
186	444	9061
187	445	9042
188	447	9026
189	449	9006
190	450	8987
191	452	8969
192	454	8973
193	456	8955
194	458	8938
195	459	8923
196	461	8913
197	463	8894
198	464	8876
199	466	8860
200	467	8840
201	469	8829
202	471	8813
203	472	8797
204	474	8780
205	477	8796
206	479	8784
207	480	8764
208	482	8745
209	483	8729
210	485	8715
211	486	8699
212	488	8683
213	490	8670
214	491	8656
215	493	8644
216	494	8627
217	496	8610
218	497	8596
219	499	8583
220	501	8570
221	502	8554
222	504	8540
223	505	8526
224	507	8514
225	509	8501
226	510	8488
227	512	8473
228	513	8461
229	515	8448
230	516	8433
231	518	8421
232	521	8424
233	523	8421
234	525	8418
235	527	8410
236	529	8404
237	531	8394
238	532	8386
239	534	8375
240	536	8362
241	538	8354
242	540	8350
243	541	8339
244	543	8326
245	544	8312
246	546	8301
247	547	8290
248	549	8277
249	550	8263
250	552	8248
251	553	8239
252	555	8228
253	557	8216
254	558	8204
255	560	8191
256	561	8181
257	563	8175
258	565	8164
259	566	8151
260	568	8139
261	569	8129
262	571	8123
263	573	8112
264	575	8104
265	576	8096
266	578	8085
267	579	8076
268	581	8068
269	584	8071
270	586	8076
271	589	8076
272	591	8080
273	594	8080
274	596	8073
275	597	8066
276	600	8064
277	602	8060
278	604	8059
279	606	8057
280	608	8049
281	610	8048
282	612	8043
283	614	8038
284	616	8030
285	618	8027
286	619	8021
287	621	8011
288	623	8000
289	624	7993
290	626	7986
291	628	7976
292	629	7966
293	631	7955
294	632	7946
295	634	7936
296	635	7928
297	637	7918
298	639	7909
299	640	7903
300	642	7894
301	643	7885
302	645	7875
303	646	7865
304	648	7857
305	650	7848
306	651	7840
307	653	7831
308	654	7823
309	656	7814
310	658	7808
311	659	7798
312	661	7790
313	663	7785
314	664	7777
315	666	7769
316	668	7761
317	669	7753
318	671	7744
319	672	7738
320	674	7728
321	675	7719
322	677	7711
323	679	7705
324	681	7703
325	683	7703
326	685	7696
327	687	7691
328	688	7683
329	690	7681
330	692	7680
331	695	7689
332	698	7694
333	701	7697
334	703	7701
335	705	7697
336	708	7698
337	710	7701
338	713	7702
339	715	7705
340	718	7712
341	720	7709
342	722	7707
343	727	7727
344	729	7732
345	732	7736
346	735	7742
347	738	7751
348	745	7797
349	749	7814
350	754	7843
351	758	7857
352	762	7880
353	765	7884
354	768	7891
355	771	7900
356	774	7905
357	777	7908
358	780	7919
359	783	7925
360	786	7926
361	789	7930
362	791	7932
363	793	7930
364	796	7927
365	797	7921
366	799	7916
367	801	7913
368	805	7929
369	807	7925
370	809	7920
371	811	7915
372	813	7909
373	815	7910
374	817	7906
375	819	7899
376	821	7892
377	822	7884
378	824	7877
379	826	7869
380	827	7862
381	829	7854
382	831	7849
383	833	7844
384	834	7838
385	836	7831
386	838	7824
387	840	7820
388	841	7812
389	843	7804
390	844	7797
391	846	7790
392	848	7783
393	849	7777
394	851	7771
395	853	7768
396	856	7768
397	859	7775
398	861	7775
399	863	7774
400	866	7772
401	868	7769
402	869	7761
403	871	7753
404	873	7749
405	874	7744
406	876	7737
407	878	7732
408	880	7727
409	881	7720
410	883	7714
411	885	7708
412	886	7701
413	888	7699
414	890	7692
415	892	7687
416	894	7683
417	896	7678
418	897	7674
419	899	7669
420	903	7678
421	905	7678
422	907	7676
423	910	7677
424	912	7679
425	914	7674
426	916	7670
427	919	7669
428	920	7665
429	922	7660
430	924	7656
431	927	7658
432	931	7676
433	937	7705
434	939	7703
435	942	7702
436	944	7701
437	946	7699
438	949	7703
439	952	7704
440	954	7702
441	957	7704
442	958	7697
443	960	7691
444	961	7684
445	963	7679
446	965	7674
447	967	7669
448	969	7667
449	972	7672
450	975	7678
451	979	7691
452	983	7702
453	987	7714
454	992	7734
455	995	7736
456	997	7736
457	1000	7738
458	1003	7742
459	1006	7742
460	1010	7754
461	1012	7754
462	1015	7757
463	1018	7757
464	1020	7756
465	1022	7753
466	1024	7751
467	1026	7748
468	1029	7748
469	1031	7748
470	1035	7757
471	1037	7758
472	1040	7757
473	1042	7757
474	1044	7753
475	1047	7753
476	1049	7752
477	1052	7753
478	1054	7753
479	1056	7749
480	1059	7748
481	1061	7748
482	1063	7743
483	1065	7739
484	1067	7733
485	1068	7728
486	1070	7723
487	1072	7719
488	1074	7713
489	1075	7706
490	1077	7700
491	1079	7697
492	1081	7693
493	1083	7688
494	1085	7685
495	1089	7696
496	1093	7705
497	1096	7708
498	1099	7712
499	1101	7711
500	1103	7707
501	1105	7704
502	1107	7698
503	1109	7696
504	1111	7693
505	1113	7687
506	1115	7685
507	1117	7679
508	1118	7674
509	1120	7669
510	1122	7662
511	1123	7656
512	1125	7650
513	1127	7645
514	1129	7640
515	1130	7635
516	1132	7630
517	1134	7626
518	1136	7625
519	1138	7619
520	1140	7613
521	1141	7607
522	1143	7602
523	1145	7596
524	1146	7592
525	1149	7589
526	1151	7585
527	1152	7580
528	1154	7574
529	1156	7571
530	1158	7567
531	1160	7563
532	1162	7558
533	1163	7553
534	1165	7548
535	1167	7542
536	1169	7538
537	1171	7535
538	1173	7534
539	1176	7539
540	1180	7545
541	1183	7548
542	1185	7545
543	1187	7543
544	1189	7540
545	1193	7549
546	1202	7588
547	1206	7601
548	1213	7625
549	1216	7631
550	1218	7628
551	1220	7625
552	1223	7626
553	1225	7621
554	1227	7617
555	1229	7613
556	1231	7612
557	1234	7617
558	1238	7622
559	1241	7624
560	1245	7637
561	1248	7636
562	1250	7632
563	1252	7629
564	1254	7624
565	1256	7621
566	1258	7618
567	1260	7618
568	1263	7619
569	1266	7621
570	1269	7624
571	1271	7622
572	1274	7620
573	1276	7618
574	1278	7613
575	1280	7609
576	1282	7607
577	1284	7602
578	1285	7598
579	1287	7593
580	1289	7590
581	1292	7591
582	1296	7598
583	1298	7597
584	1301	7596
585	1303	7594
586	1305	7592
587	1308	7591
588	1311	7597
589	1314	7595
590	1318	7607
591	1322	7611
592	1324	7610
593	1326	7607
594	1329	7607
595	1331	7605
596	1333	7604
597	1336	7604
598	1339	7606
599	1343	7612
600	1350	7637
601	1354	7647
602	1361	7671
603	1369	7700
604	1376	7725
605	1386	7767
606	1391	7780
607	1398	7802
608	1405	7827
609	1410	7838
610	1413	7841
611	1416	7842
612	1419	7845
613	1423	7849
614	1426	7852
615	1430	7855
616	1433	7858
617	1437	7867
618	1441	7872
619	1444	7873
620	1447	7876
621	1451	7881
622	1454	7881
623	1457	7883
624	1469	7934
625	1475	7952
626	1480	7963
627	1483	7967
628	1489	7980
629	1493	7989
630	1577	8419
631	1580	8423
632	1585	8434
633	1590	8446
634	1593	8443
635	1595	8438
636	1599	8443
637	1602	8445
638	1605	8442
639	1608	8444
640	1612	8452
641	1617	8461
642	1620	8460
643	1623	8460
644	1626	8458
645	1629	8459
646	1634	8470
647	1639	8482
648	1643	8484
649	1646	8484
650	1648	8481
651	1651	8479
652	1653	8476
653	1656	8475
654	1659	8475
655	1662	8473
656	1664	8470
657	1666	8466
658	1669	8462
659	1671	8457
660	1673	8454
661	1676	8450
662	1680	8460
663	1684	8461
664	1687	8461
665	1689	8456
666	1691	8451
667	1693	8445
668	1695	8441
669	1697	8436
670	1699	8433
671	1701	8428
672	1704	8424
673	1706	8419
674	1708	8417
675	1710	8413
676	1713	8410
677	1715	8406
678	1717	8401
679	1719	8395
680	1721	8388
681	1723	8383
682	1725	8380
683	1728	8378
684	1730	8376
685	1733	8372
686	1735	8368
687	1737	8366
688	1740	8362
689	1742	8359
690	1745	8356
691	1748	8358
692	1750	8354
693	1752	8348
694	1754	8343
695	1756	8340
696	1759	8337
697	1763	8341
698	1766	8340
699	1768	8335
700	1770	8333
701	1773	8330
702	1775	8326
703	1777	8323
704	1780	8319
705	1782	8315
706	1784	8310
707	1786	8305
708	1788	8300
709	1790	8296
710	1792	8292
711	1794	8288
712	1797	8285
713	1799	8280
714	1801	8275
715	1803	8270
716	1805	8266
717	1807	8263
718	1810	8260
719	1813	8262
720	1816	8262
721	1820	8264
722	1824	8268
723	1829	8277
724	1831	8272
725	1833	8267
726	1835	8264
727	1838	8261
728	1841	8262
729	1843	8259
730	1847	8262
731	1855	8282
732	1859	8288
733	1862	8289
734	1866	8292
735	1872	8302
736	1875	8302
737	1881	8314
738	1883	8311
739	1886	8311
740	1891	8319
741	1894	8319
742	1898	8321
743	1902	8326
744	1907	8332
745	1911	8336
746	1913	8333
747	1916	8332
748	1919	8332
749	1924	8340
750	1928	8345
751	1933	8351
752	1939	8363
753	1946	8378
754	1960	8425
755	1971	8459
756	1980	8482
757	1985	8492
758	1995	8519
759	1999	8522
760	2004	8532
761	2007	8530
762	2014	8548
763	2020	8559
764	2023	8556
765	2025	8552
766	2028	8548
767	2030	8543
768	2032	8537
769	2034	8532
770	2037	8533
771	2040	8530
772	2042	8526
773	2044	8521
774	2046	8518
775	2049	8514
776	2053	8518
777	2055	8514
778	2058	8512
779	2061	8512
780	2064	8509
781	2067	8507
782	2070	8507
783	2073	8507
784	2079	8515
785	2082	8516
786	2085	8515
787	2088	8512
788	2093	8519
789	2099	8532
790	2106	8547
791	2113	8560
792	2117	8561
793	2120	8560
794	2123	8559
795	2126	8559
796	2138	8594
797	2143	8600
798	2147	8603
799	2153	8614
800	2162	8634
801	2165	8633
802	2172	8650
803	2176	8650
804	2179	8648
805	2181	8644
806	2184	8641
807	2186	8639
808	2189	8635
809	2194	8643
810	2198	8645
811	2201	8643
812	2207	8654
813	2216	8675
814	2219	8674
815	2224	8678
816	2228	8682
817	2233	8687
818	2238	8693
819	2243	8699
820	2245	8696
821	2248	8693
822	2251	8689
823	2254	8687
824	2259	8695
825	2265	8703
826	2269	8706
827	2274	8711
828	2278	8713
829	2281	8715
830	2285	8714
831	2289	8718
832	2293	8719
833	2296	8719
834	2300	8720
835	2305	8726
836	2309	8725
837	2312	8724
838	2315	8725
839	2320	8730
840	2326	8739
841	2330	8742
842	2336	8751
843	2340	8752
844	2345	8755
845	2348	8755
846	2352	8757
847	2355	8756
848	2361	8763
849	2363	8759
850	2366	8757
851	2369	8754
852	2376	8766
853	2379	8765
854	2382	8765
855	2387	8768
856	2392	8773
857	2395	8773
858	2398	8771
859	2407	8788
860	2411	8793
861	2416	8798
862	2421	8802
863	2426	8805
864	2441	8849
865	2445	8849
866	2451	8860
867	2455	8861
868	2466	8887
869	2472	8896
870	2480	8909
871	2484	8912
872	2487	8911
873	2490	8907
874	2493	8905
875	2496	8903
876	2506	8925
877	2511	8929
878	2515	8932
879	2518	8929
880	2521	8926
881	2524	8923
882	2527	8921
883	2530	8918
884	2533	8916
885	2535	8911
886	2537	8906
887	2540	8903
888	2543	8899
889	2546	8897
890	2551	8902
891	2554	8899
892	2557	8897
893	2563	8904
894	2566	8903
895	2568	8899
896	2571	8895
897	2573	8890
898	2582	8906
899	2586	8910
900	2590	8909
901	2593	8907
902	2597	8908
903	2600	8907
904	2604	8905
905	2607	8905
906	2610	8903
907	2614	8901
908	2617	8901
909	2620	8897
910	2622	8893
911	2625	8890
912	2631	8898
913	2636	8902
914	2640	8902
915	2643	8898
916	2645	8895
917	2648	8893
918	2652	8893
919	2657	8895
920	2662	8900
921	2667	8903
922	2671	8904
923	2673	8900
924	2676	8898
925	2679	8893
926	2687	8908
927	2693	8916
928	2696	8914
929	2699	8910
930	2701	8904
931	2705	8905
932	2707	8900
933	2709	8895
934	2713	8893
935	2716	8890
936	2718	8886
937	2720	8881
938	2723	8877
939	2725	8873
940	2728	8868
941	2730	8863
942	2732	8858
943	2736	8858
944	2740	8858
945	2743	8855
946	2745	8850
947	2747	8845
948	2749	8840
949	2752	8836
950	2754	8831
951	2756	8825
952	2758	8820
953	2761	8815
954	2763	8810
955	2765	8806
956	2767	8801
957	2770	8796
958	2772	8790
959	2774	8785
960	2776	8780
961	2778	8775
962	2781	8772
963	2784	8769
964	2786	8764
965	2789	8760
966	2791	8755
967	2794	8752
968	2796	8747
969	2799	8743
970	2801	8739
971	2804	8736
972	2806	8731
973	2809	8728
974	2811	8723
975	2813	8718
976	2816	8714
977	2819	8713
978	2822	8709
979	2825	8705
980	2829	8706
981	2832	8705
982	2836	8706
983	2840	8704
984	2843	8702
985	2850	8712
986	2853	8710
987	2855	8706
988	2858	8703
989	2861	8699
990	2863	8695
991	2866	8691
992	2868	8686
993	2871	8683
994	2873	8678
995	2876	8674
996	2878	8670
997	2880	8665
998	2883	8661
999	2885	8657
1000	2888	8653
1001	2890	8648
1002	2893	8644
1003	2895	8639
1004	2897	8634
1005	2899	8629
1006	2901	8625
1007	2905	8623
1008	2908	8620
1009	2910	8616
1010	2912	8611
1011	2915	8606
1012	2917	8602
1013	2919	8597
1014	2921	8592
1015	2923	8587
1016	2926	8583
1017	2928	8579
1018	2931	8574
1019	2933	8569
1020	2935	8565
1021	2938	8563
1022	2945	8570
1023	2948	8570
1024	2953	8573
1025	2958	8575
1026	2964	8582
1027	2967	8578
1028	2969	8574
1029	2972	8570
1030	2974	8565
1031	2976	8559
1032	2978	8554
1033	2982	8554
1034	2984	8549
1035	2987	8547
1036	2991	8546
1037	2994	8543
1038	2996	8538
1039	2998	8533
1040	3000	8528
1041	3002	8523
1042	3005	8519
1043	3006	8514
1044	3008	8508
1045	3010	8503
1046	3012	8497
1047	3014	8492
1048	3016	8486
